week,condition,replicate,total_cell_count,viability,batch_id
1,P10,r1,168602340.0,0.95,Palbociclib (CDK4) 10
1,P250,r1,2769809.28,0.95,Palbociclib (CDK4) 10
1,P50,r1,36777500.0,0.95,Palbociclib (CDK4) 10
1,R100,r1,12527504.4,0.95,Ripretinib (PDGFRA) 10
1,R20,r1,150242040.0,0.95,Ripretinib (PDGFRA) 10
1,R500,r1,1115524.48,0.95,Ripretinib (PDGFRA) 10
1,ctrl,r1,186700800.0,0.95,Palbociclib (CDK4) 10
2,P10,r1,1935554863.0,0.95,Palbociclib (CDK4) 10
2,P250,r1,9029578.25,0.95,Palbociclib (CDK4) 10
2,P50,r1,178003100.0,0.95,Palbociclib (CDK4) 10
2,R100,r1,147072902.0,0.95,Ripretinib (PDGFRA) 10
2,R20,r1,1319125111.0,0.95,Ripretinib (PDGFRA) 10
2,R500,r1,2364911.9,0.95,Ripretinib (PDGFRA) 10
2,ctrl,r1,1732583424.0,0.95,Palbociclib (CDK4) 10
3,P10,r1,10606840650.0,0.95,Palbociclib (CDK4) 10
3,P250,r1,21670987.81,0.95,Palbociclib (CDK4) 10
3,P50,r1,950536554.0,0.95,Palbociclib (CDK4) 10
3,R100,r1,676535347.6,0.95,Ripretinib (PDGFRA) 10
3,R20,r1,8257723196.0,0.95,Ripretinib (PDGFRA) 10
3,R500,r1,6621753.313,0.95,Ripretinib (PDGFRA) 10
3,ctrl,r1,11816218952.0,0.95,Palbociclib (CDK4) 10
4,P10,r1,79551304878.0,0.95,Palbociclib (CDK4) 10
4,P250,r1,94485506.84,0.95,Palbociclib (CDK4) 10
4,P50,r1,4125328644.0,0.95,Palbociclib (CDK4) 10
4,R100,r1,3382676738.0,0.95,Ripretinib (PDGFRA) 10
4,R20,r1,85550012312.0,0.95,Ripretinib (PDGFRA) 10
4,R500,r1,13243506.63,0.95,Ripretinib (PDGFRA) 10
4,ctrl,r1,147703000000.0,0.95,Palbociclib (CDK4) 10
5,P10,r1,1255320000000.0,0.95,Palbociclib (CDK4) 10
5,P250,r1,347706665.2,0.95,Palbociclib (CDK4) 10
5,P50,r1,28794793938.0,0.95,Palbociclib (CDK4) 10
5,R100,r1,17386958434.0,0.95,Ripretinib (PDGFRA) 10
5,R20,r1,1069380000000.0,0.95,Ripretinib (PDGFRA) 10
5,R500,r1,47941493.99,0.95,Ripretinib (PDGFRA) 10
5,ctrl,r1,1914230000000.0,0.95,Palbociclib (CDK4) 10
6,P10,r1,9364680000000.0,0.95,Palbociclib (CDK4) 10
6,P250,r1,2204460257.0,0.95,Palbociclib (CDK4) 10
6,P50,r1,266064000000.0,0.95,Palbociclib (CDK4) 10
6,R100,r1,143964000000.0,0.95,Ripretinib (PDGFRA) 10
6,R20,r1,13003600000000.0,0.95,Ripretinib (PDGFRA) 10
6,R500,r1,161083419.8,0.95,Ripretinib (PDGFRA) 10
6,ctrl,r1,26416300000000.0,0.95,Palbociclib (CDK4) 10
