week,condition,replicate,species,ddpcr_copy_number,ddpcr_sd_or_ci,batch_id
1,P10,r1,CDK4,98.4,5.280612244897964,2026-05-04-ddPCR-T87
1,P10,r1,MYC,125.1,7.040816326530607,2026-05-04-ddPCR-T87
1,P10,r1,PDGFRA,106.8,6.122448979591836,2026-05-04-ddPCR-T87
1,P250,r1,CDK4,104.1,4.056122448979593,2026-05-04-ddPCR-T87
1,P250,r1,MYC,108.6,3.9795918367346963,2026-05-04-ddPCR-T87
1,P250,r1,PDGFRA,98.1,3.826530612244898,2026-05-04-ddPCR-T87
1,P50,r1,CDK4,105.6,5.816326530612244,2026-05-04-ddPCR-T87
1,P50,r1,MYC,111.3,5.127551020408165,2026-05-04-ddPCR-T87
1,P50,r1,PDGFRA,97.5,4.7448979591836755,2026-05-04-ddPCR-T87
1,R100,r1,CDK4,94.2,3.367346938775511,2026-05-04-ddPCR-T87
1,R100,r1,MYC,102.6,3.9030612244897953,2026-05-04-ddPCR-T87
1,R100,r1,PDGFRA,93.6,3.29081632653061,2026-05-04-ddPCR-T87
1,R20,r1,CDK4,104.4,2.9081632653061202,2026-05-04-ddPCR-T87
1,R20,r1,MYC,114.0,3.3673469387755075,2026-05-04-ddPCR-T87
1,R20,r1,PDGFRA,104.7,2.831632653061227,2026-05-04-ddPCR-T87
1,R500,r1,CDK4,96.6,3.2908163265306136,2026-05-04-ddPCR-T87
1,R500,r1,MYC,108.6,3.7499999999999973,2026-05-04-ddPCR-T87
1,R500,r1,PDGFRA,95.7,3.2908163265306136,2026-05-04-ddPCR-T87
1,ctrl,r1,CDK4,101.7,2.755102040816326,2026-05-04-ddPCR-T87
1,ctrl,r1,MYC,114.0,3.1377551020408156,2026-05-04-ddPCR-T87
1,ctrl,r1,PDGFRA,107.1,2.9846938775510177,2026-05-04-ddPCR-T87
2,P10,r1,CDK4,105.3,3.5204081632653055,2026-05-04-ddPCR-T87
2,P10,r1,MYC,116.4,3.826530612244898,2026-05-04-ddPCR-T87
2,P10,r1,PDGFRA,111.6,4.056122448979593,2026-05-04-ddPCR-T87
2,P250,r1,CDK4,97.8,4.285714285714285,2026-05-04-ddPCR-T87
2,P250,r1,MYC,119.1,6.122448979591844,2026-05-04-ddPCR-T87
2,P250,r1,PDGFRA,118.2,6.19897959183673,2026-05-04-ddPCR-T87
2,P50,r1,CDK4,99.3,4.438775510204083,2026-05-04-ddPCR-T87
2,P50,r1,MYC,116.7,5.892857142857149,2026-05-04-ddPCR-T87
2,P50,r1,PDGFRA,116.7,6.198979591836734,2026-05-04-ddPCR-T87
2,R100,r1,CDK4,95.1,3.214285714285713,2026-05-04-ddPCR-T87
2,R100,r1,MYC,106.2,4.821428571428573,2026-05-04-ddPCR-T87
2,R100,r1,PDGFRA,103.5,3.5969387755102065,2026-05-04-ddPCR-T87
2,R20,r1,CDK4,102.3,4.056122448979593,2026-05-04-ddPCR-T87
2,R20,r1,MYC,113.4,5.586734693877553,2026-05-04-ddPCR-T87
2,R20,r1,PDGFRA,110.1,4.591836734693878,2026-05-04-ddPCR-T87
2,R500,r1,CDK4,92.4,2.908163265306124,2026-05-04-ddPCR-T87
2,R500,r1,MYC,102.6,3.5204081632653055,2026-05-04-ddPCR-T87
2,R500,r1,PDGFRA,95.7,3.367346938775511,2026-05-04-ddPCR-T87
2,ctrl,r1,CDK4,99.0,2.602040816326528,2026-05-04-ddPCR-T87
2,ctrl,r1,MYC,109.5,3.6734693877551035,2026-05-04-ddPCR-T87
2,ctrl,r1,PDGFRA,108.0,3.3673469387755075,2026-05-04-ddPCR-T87
3,P10,r1,CDK4,102.6,2.755102040816326,2026-05-04-ddPCR-T87
3,P10,r1,MYC,123.9,3.520408163265309,2026-05-04-ddPCR-T87
3,P10,r1,PDGFRA,111.9,3.061224489795918,2026-05-04-ddPCR-T87
3,P250,r1,CDK4,98.7,3.9795918367346923,2026-05-04-ddPCR-T87
3,P250,r1,MYC,119.1,4.821428571428566,2026-05-04-ddPCR-T87
3,P250,r1,PDGFRA,108.3,4.362244897959182,2026-05-04-ddPCR-T87
3,P50,r1,CDK4,110.1,3.596938775510203,2026-05-04-ddPCR-T87
3,P50,r1,MYC,116.4,3.903061224489799,2026-05-04-ddPCR-T87
3,P50,r1,PDGFRA,108.9,3.443877551020408,2026-05-04-ddPCR-T87
3,R100,r1,CDK4,86.69999999999999,2.2959183673469425,2026-05-04-ddPCR-T87
3,R100,r1,MYC,99.3,2.678571428571429,2026-05-04-ddPCR-T87
3,R100,r1,PDGFRA,92.7,2.372448979591836,2026-05-04-ddPCR-T87
3,R20,r1,CDK4,98.1,2.448979591836737,2026-05-04-ddPCR-T87
