time_label,week,condition,replicate,group,fraction,fraction_or_count,total_events,batch_id
initial_assumption,1,ctrl,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,1,ctrl,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,1,ctrl,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,1,P10,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,1,P10,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,1,P10,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,1,P50,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,1,P50,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,1,P50,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,1,P250,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,1,P250,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,1,P250,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,1,R20,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,1,R20,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,1,R20,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,1,R100,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,1,R100,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,1,R100,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,1,R500,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,1,R500,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,1,R500,r1,MES,0.16,0.16,1000,user_initial_state_fractions
initial_assumption,2,ctrl,r1,OLIG2-high,0.7,0.7,1000,user_initial_state_fractions
initial_assumption,2,ctrl,r1,AC,0.14,0.14,1000,user_initial_state_fractions
initial_assumption,2,ctrl,r1,MES,0.16,0.16,1000,user_initial_state_fractions
